         0     gagagaga
         8     atomdat1
 0101  284    1           hydrogen molecule
   59    9650.2  1  2  5   8.25 1.88e+00 x:(singlet sigma,+g) (1s-sigma)
   60   10257.1  1  2  6   3.25 1.91e+00 x:(singlet sigma,+g) (1s-sigma)
   61   10951.3  1  2  7  11.25 1.94e+00 x:(singlet sigma,+g) (1s-sigma)
   62   11727.3  1  2  8   4.25 1.97e+00 x:(singlet sigma,+g) (1s-sigma)
   63   12579.0  1  2  9  14.25 2.00e+00 x:(singlet sigma,+g) (1s-sigma)
   64   13500.6  1  2 10   5.25 2.04e+00 x:(singlet sigma,+g) (1s-sigma)
   65   14486.2  1  2 11  17.25 2.09e+00 x:(singlet sigma,+g) (1s-sigma)
   66   15530.5  1  2 12   6.25 2.13e+00 x:(singlet sigma,+g) (1s-sigma)
   67   16628.7  1  2 13  20.25 2.18e+00 x:(singlet sigma,+g) (1s-sigma)
   68   17777.3  1  2 14   7.25 2.24e+00 x:(singlet sigma,+g) (1s-sigma)
   69   18974.1  1  2 15  23.25 2.29e+00 x:(singlet sigma,+g) (1s-sigma)
   70   20218.5  1  2 16   8.25 2.36e+00 x:(singlet sigma,+g) (1s-sigma)
   71   21512.1  1  2 17  26.25 2.43e+00 x:(singlet sigma,+g) (1s-sigma)
   72   22859.2  1  2 18   9.25 2.51e+00 x:(singlet sigma,+g) (1s-sigma)
   73   24267.0  1  2 19  29.25 2.60e+00 x:(singlet sigma,+g) (1s-sigma)
   74   25746.1  1  2 20  10.25 2.71e+00 x:(singlet sigma,+g) (1s-sigma)
   75   27311.2  1  2 21  32.25 2.84e+00 x:(singlet sigma,+g) (1s-sigma)
   76   28981.5  1  2 22  11.25 3.00e+00 x:(singlet sigma,+g) (1s-sigma)
   77   30781.2  1  2 23  35.25 3.22e+00 x:(singlet sigma,+g) (1s-sigma)
   78   32740.2  1  2 24  12.25 3.56e+00 x:(singlet sigma,+g) (1s-sigma)
   79   34894.5  1  2 25  38.25 4.34e+00 x:(singlet sigma,+g) (1s-sigma)
   80   11776.0  1  3  0   0.25 1.97e+00 x:(singlet sigma,+g) (1s-sigma)
   81   11877.1  1  3  1   2.25 1.97e+00 x:(singlet sigma,+g) (1s-sigma)
   82   12078.3  1  3  2   1.25 1.98e+00 x:(singlet sigma,+g) (1s-sigma)
   83   12377.6  1  3  3   5.25 2.00e+00 x:(singlet sigma,+g) (1s-sigma)
   84   12772.3  1  3  4   2.25 2.01e+00 x:(singlet sigma,+g) (1s-sigma)
   85   13258.6  1  3  5   8.25 2.03e+00 x:(singlet sigma,+g) (1s-sigma)
   86   13832.1  1  3  6   3.25 2.06e+00 x:(singlet sigma,+g) (1s-sigma)
   87   14487.8  1  3  7  11.25 2.09e+00 x:(singlet sigma,+g) (1s-sigma)
   88   15219.9  1  3  8   4.25 2.12e+00 x:(singlet sigma,+g) (1s-sigma)
   89   16022.6  1  3  9  14.25 2.15e+00 x:(singlet sigma,+g) (1s-sigma)
   90   16889.8  1  3 10   5.25 2.19e+00 x:(singlet sigma,+g) (1s-sigma)
   91   17815.5  1  3 11  17.25 2.24e+00 x:(singlet sigma,+g) (1s-sigma)
   92   18793.7  1  3 12   6.25 2.29e+00 x:(singlet sigma,+g) (1s-sigma)
   93   19819.4  1  3 13  20.25 2.34e+00 x:(singlet sigma,+g) (1s-sigma)
   94   20888.0  1  3 14   7.25 2.40e+00 x:(singlet sigma,+g) (1s-sigma)
   95   21996.1  1  3 15  23.25 2.46e+00 x:(singlet sigma,+g) (1s-sigma)
   96   23141.7  1  3 16   8.25 2.53e+00 x:(singlet sigma,+g) (1s-sigma)
   97   24324.6  1  3 17  26.25 2.61e+00 x:(singlet sigma,+g) (1s-sigma)
   98   25546.6  1  3 18   9.25 2.69e+00 x:(singlet sigma,+g) (1s-sigma)
   99   26812.0  1  3 19  29.25 2.79e+00 x:(singlet sigma,+g) (1s-sigma)
  100   28128.2  1  3 20  10.25 2.91e+00 x:(singlet sigma,+g) (1s-sigma)
  101   29505.7  1  3 21  32.25 3.06e+00 x:(singlet sigma,+g) (1s-sigma)
  102   30958.7  1  3 22  11.25 3.24e+00 x:(singlet sigma,+g) (1s-sigma)
  103   32506.1  1  3 23  35.25 3.51e+00 x:(singlet sigma,+g) (1s-sigma)
  104   34171.0  1  3 24  12.25 3.98e+00 x:(singlet sigma,+g) (1s-sigma)
  105   35982.3  1  3 25  38.25 6.07e+00 x:(singlet sigma,+g) (1s-sigma)
  106   15242.0  1  4  0   0.25 2.12e+00 x:(singlet sigma,+g) (1s-sigma)
  107   15337.5  1  4  1   2.25 2.12e+00 x:(singlet sigma,+g) (1s-sigma)
  108   15527.3  1  4  2   1.25 2.13e+00 x:(singlet sigma,+g) (1s-sigma)
  109   15809.8  1  4  3   5.25 2.14e+00 x:(singlet sigma,+g) (1s-sigma)
  110   16182.1  1  4  4   2.25 2.16e+00 x:(singlet sigma,+g) (1s-sigma)
  111   16640.6  1  4  5   8.25 2.18e+00 x:(singlet sigma,+g) (1s-sigma)
  112   17181.0  1  4  6   3.25 2.21e+00 x:(singlet sigma,+g) (1s-sigma)
  113   17798.3  1  4  7  11.25 2.24e+00 x:(singlet sigma,+g) (1s-sigma)
  114   18486.8  1  4  8   4.25 2.27e+00 x:(singlet sigma,+g) (1s-sigma)
  115   19240.6  1  4  9  14.25 2.31e+00 x:(singlet sigma,+g) (1s-sigma)
